title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,metro_score,bus_score,hwy_score,airport_score,IABS
 ,2300000,500,4600.0,Nalasopara,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.41014671,72.78446198,0.0,0.0,0.0,0.0,0.0
 ,1800000,550,3272.727273,Shil Phata,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.14541054,73.0394516,0.0,0.0,0.8,0.0,16.000000000000004
 ,2500000,400,6250.0,Badlapur,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.15452766,73.23560333,0.2,0.0,0.0,0.0,8.000000000000002
 ,2200000,550,4000.0,Mumbra,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.16859055,73.02204132,0.0,0.0,0.8,0.0,16.000000000000004
 ,2600000,535,4859.813084,Vasai,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.39635086,72.86195374,0.0,0.0,0.0,0.0,0.0
 ,3000000,699,4291.845494,Ambernath,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.18672943,73.19139099,0.0,0.0,0.0,0.0,0.0
K Raheja Maple Leaf,16500000,750,22000.0,Powai,Mumbai,Apartment,1,2,0,Semi-Furnished,15,1,19.11713028,72.89370728,0.0,0.2,0.0,0.0,5.0
K Raheja Vistas,33200000,1104,30072.46377,Powai,Mumbai,Apartment,3,2,0,Semi-Furnished,7,1,19.1196804,72.89414978,0.0,0.2,0.0,0.0,5.0
 ,11000000,1000,11000.0,Koper Khairane,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.10186005,73.00868225,0.0,0.0,0.0,0.0,0.0
Juhi Bhumika Residency,14400000,1625,8861.538462,Kalamboli,Mumbai,Apartment,3,3,0,Semi-Furnished,11,1,19.0367775,73.09087372,0.0,0.0,0.5,0.0,10.0
Platinum The Springs,11500000,1330,8646.616541,Kalamboli,Mumbai,Apartment,2,2,0,Semi-Furnished,11,1,19.0371151,73.08891296,0.0,0.0,0.5,0.0,10.0
Sai Avaneesh,10800000,1139,9482.001756,Kalamboli,Mumbai,Apartment,2,2,0,Semi-Furnished,9,1,19.0348835,73.0936203,0.0,0.0,0.5,0.0,10.0
Skyline Poseidon,36000000,1050,34285.71429,Andheri,Mumbai,Apartment,3,3,0,Semi-Furnished,14,1,19.14082718,72.81272888,0.0,0.2,0.0,0.0,5.0
Royal Palms Ruby Isle,5500000,540,10185.18519,Goregaon,Mumbai,Apartment,1,1,0,Unfurnished,11,1,19.1553669,72.88744354,0.0,0.0,0.0,0.0,0.0
The Goyal Sea Rock,9500001,600,15833.335,Borivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.231287,72.85652161,0.8,0.8,0.5,0.0,62.0
 ,2600000,415,6265.060241,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.2219944,73.08733368,0.5,0.0,0.0,0.0,20.0
Reputed Builder Rameshwar Darshan,3200000,412,7766.990291,Andheri,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.22118759,73.09005737,0.5,0.0,0.0,0.0,20.0
 ,3300000,420,7857.142857,Dombivli,Mumbai,Apartment,1,1,0,Furnished,8,1,19.2196312,73.08188629,0.5,0.0,0.0,0.0,20.0
 ,3800000,557,6822.262118,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.23182487,73.08622742,0.2,0.0,0.0,0.0,8.000000000000002
 ,3900000,585,6666.666667,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.21722984,73.08430481,0.8,0.0,0.0,0.0,32.00000000000001
 ,5200000,559,9302.325581,Kasaradavali Thane,Mumbai,Apartment,1,1,0,Unfurnished,4,1,19.27029419,72.96857452,0.0,0.0,0.0,0.0,0.0
 ,100000000,1600,62500.0,Vile Parle,Mumbai,Apartment,4,4,0,Unfurnished,6,1,19.11406326,72.83135223,0.0,0.0,0.0,0.0,0.0
Reputed Builder Spring Grove Uno Society,7500000,410,18292.68293,Kandivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.19770813,72.87263489,0.2,0.2,0.2,0.0,17.0
 ,5790000,682,8489.73607,Kasaradavali Thane,Mumbai,Apartment,1,2,0,Unfurnished,4,1,19.26675606,72.96956635,0.0,0.0,0.0,0.0,0.0
 ,9090000,951,9558.359621,Kasaradavali Thane,Mumbai,Apartment,2,2,0,Semi-Furnished,4,1,19.26821518,72.97315979,0.0,0.0,0.0,0.0,0.0
 ,5299999,642,8255.450156,Kasaradavali Thane,Mumbai,Apartment,1,2,0,Unfurnished,4,1,19.26808357,72.96931458,0.0,0.0,0.0,0.0,0.0
SD Siennaa Wing D,23000000,945,24338.62434,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.20595741,72.87180328,0.2,0.8,0.5,0.0,38.0
Vajinath The Residences,8700000,1124,7740.213523,Kalyan,Mumbai,Apartment,2,2,0,Semi-Furnished,5,1,19.26209068,73.14604187,0.0,0.0,0.2,0.0,4.000000000000001
Raj 127 Raj Homes,6800000,655,10381.67939,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.26703453,72.871315,0.2,0.0,0.5,0.0,18.000000000000004
Mayfair Akshay,55000000,1800,30555.55556,Andheri,Mumbai,Apartment,3,3,0,Semi-Furnished,8,1,19.14114189,72.82420349,0.2,0.2,0.0,0.0,13.0
Sunny Orchid Bliss,9200000,1100,8363.636364,Ulwe,Mumbai,Apartment,2,2,0,Unfurnished,3,1,18.96593475,73.02146149,0.0,0.0,0.2,0.0,4.000000000000001
Jagani Flower Valley,8500000,900,9444.444444,Kalyan,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.25943756,73.12046814,0.0,0.0,0.2,0.0,4.000000000000001
Chheda Avighna,10200000,1062,9604.519774,Mira Road,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.29721451,72.87187958,0.0,0.0,0.0,0.0,0.0
Tharwani Riverdale Vista,7100000,985,7208.121827,Kalyan,Mumbai,Apartment,2,2,0,Semi-Furnished,8,1,19.2626152,73.14559937,0.0,0.0,0.2,0.0,4.000000000000001
Omkar Alta Monte,28000000,846,33096.92671,Malad,Mumbai,Apartment,2,3,0,Semi-Furnished,0,1,19.18372345,72.86148071,0.5,0.0,0.8,0.0,36.00000000000001
 ,18900000,800,23625.0,Mulund,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.17477226,72.94526672,0.2,0.8,0.0,0.0,28.000000000000004
 ,26000000,1020,25490.19608,Prabhadevi,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.01009941,72.82971954,0.5,0.2,0.2,0.0,29.000000000000004
 ,65000000,1500,43333.33333,Dadar,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.01501846,72.83882141,0.5,0.2,0.5,0.0,35.0
 ,7500000,200,37500.0,Lower Parel,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.00004578,72.82814026,0.5,0.0,0.2,0.0,24.000000000000004
Satyam The Regents park,8500000,1000,8500.0,Taloja,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04730034,73.06990051,0.0,0.0,0.2,0.0,4.000000000000001
Today Oxyfresh Homes,9900000,1000,9900.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.08944893,73.07676697,0.0,0.0,0.2,0.0,4.000000000000001
Hiranandani Aura,10000000,750,13333.33333,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,0,1,18.9363308,73.18986511,0.2,0.0,0.8,0.0,24.000000000000004
Today Aamod,5000000,780,6410.25641,Panvel,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.98917961,73.11742401,0.5,0.0,0.8,0.0,36.00000000000001
Balaji The Ambience,3500000,658,5319.148936,Taloja,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.07429886,73.11659241,0.0,0.0,0.0,0.0,0.0
Godrej The Highlands Godrej City,5400000,780,6923.076923,Panvel,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.93676376,73.18147278,0.0,0.0,0.5,0.0,10.0
 ,18500000,1000,18500.0,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04731178,72.89689636,0.5,0.5,0.5,0.0,42.50000000000001
Sheth Vasant Sagar,17600000,950,18526.31579,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,12,1,19.20872879,72.87319946,0.2,0.5,0.5,0.0,30.500000000000004
Progressive Mangalam,3500000,700,5000.0,Koper Khairane,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.07828712,73.07828522,0.2,0.0,0.5,0.0,18.000000000000004
Reputed Builder Shapoorji Pallonji Epsilon Astron Tower,26500000,950,27894.73684,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,4,1,19.21030617,72.86837769,0.5,0.5,0.8,0.0,48.50000000000001
Reputed Builder Green Vatika CHS,16500000,850,19411.76471,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,14,1,19.21281815,72.86901855,0.5,0.5,0.8,0.0,48.50000000000001
 ,16500000,850,19411.76471,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2081356,72.87116241,0.2,0.8,0.8,0.0,44.00000000000001
Nisarg Greens Phase 2 E,3599000,700,5141.428571,Ambernath,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.20701027,73.18536377,0.8,0.0,0.0,0.0,32.00000000000001
Patel Ram Ambar,2748000,700,3925.714286,Ambernath,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.19906807,73.19509888,0.0,0.0,0.0,0.0,0.0
 ,6400000,670,9552.238806,Kharghar,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.04979515,73.07844543,0.0,0.0,0.2,0.0,4.000000000000001
Balaji Arpan,11500000,1100,10454.54545,Kharghar,Mumbai,Apartment,2,2,0,Furnished,13,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
Monarch Fortune,11500000,1100,10454.54545,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,12,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
 ,13000000,1125,11555.55556,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0720787,73.0790863,0.2,0.0,0.2,0.0,12.000000000000002
 ,10000000,1100,9090.909091,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
 ,11900000,1180,10084.74576,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,8,1,18.96635246,73.12533569,0.0,0.0,0.8,0.0,16.000000000000004
Dosti Eastern Bay,37000000,1010,36633.66337,Wadala,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.02209282,72.86715698,0.5,0.0,0.2,0.0,24.000000000000004
 ,7900000,1105,7149.321267,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,8,1,18.96832085,73.12882233,0.0,0.0,0.8,0.0,16.000000000000004
 ,3900000,680,5735.294118,Taloje,Mumbai,Apartment,1,1,0,Unfurnished,5,1,19.07429886,73.11659241,0.0,0.0,0.0,0.0,0.0
JSB Gokul Nakshatra,4500000,750,6000.0,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.45196724,72.80718231,0.5,0.0,0.0,0.0,20.0
Satya Shree Satya Shankar Residency,10700000,850,12588.23529,Thane,Mumbai,Apartment,2,2,0,Unfurnished,10,1,19.24264526,72.97179413,0.0,0.0,0.0,0.0,0.0
Kabra Happy Valley,12400000,950,13052.63158,Thane,Mumbai,Apartment,2,2,0,Furnished,14,1,19.23759651,72.97093201,0.0,0.0,0.0,0.0,0.0
Lodha Sterling,26500000,1650,16060.60606,Thane,Mumbai,Apartment,4,3,0,Unfurnished,1,1,19.23395538,72.98749542,0.0,0.0,0.2,0.0,4.000000000000001
